customerID,Churn_Probability,Risk_Band,Contract,tenure,MonthlyCharges,Estimated_Billed_Value,Expected_Revenue_at_Risk,Retention_Priority_Score,Retention_Segment
3571-RFHAR,0.40545383,Medium,Month-to-month,65,109.15,7094.75,2876.593567185104,0.33629161608719804,Loyal / High Value
1264-BYWMS,0.5377556,Medium,Month-to-month,55,96.8,5324.0,2863.010859966278,0.3344079443132707,Loyal / High Value
2675-DHUTR,0.49864197,Medium,Month-to-month,58,98.9,5736.200000000001,2860.3100555419924,0.3341775584381859,Loyal / High Value
7233-DRTRF,0.43929493,Medium,Month-to-month,63,102.4,6451.200000000001,2833.979479980469,0.33122195414667815,Loyal / High Value
8634-MPHTR,0.6021334,High,Month-to-month,47,100.05,4702.349999999999,2831.4419619262217,0.3305656711989419,Priority Retention
5655-JSMZM,0.5919411,Medium,Month-to-month,49,96.2,4713.8,2790.2920431613925,0.32576466969927714,Loyal / High Value
7480-QNVZJ,0.5815509,Medium,Month-to-month,50,95.7,4785.0,2782.7210381627083,0.32490011737091545,Loyal / High Value
3838-OZURD,0.40060508,Medium,Month-to-month,66,105.0,6930.0,2776.19322180748,0.3245336935315379,Loyal / High Value
4433-JCGCG,0.5963928,Medium,Month-to-month,46,101.0,4646.0,2770.840996861458,0.3234748701269431,Loyal / High Value
1984-FCOWB,0.35901,Medium,One year,70,109.5,7665.0,2751.8117339909077,0.32176743550554465,Loyal / High Value
3384-CTMSF,0.5602237,Medium,Month-to-month,47,104.1,4892.7,2741.006490218639,0.32005746960388426,Loyal / High Value
5630-IXDXV,0.54784817,Medium,Month-to-month,47,106.35,4998.45,2738.3916605204345,0.31977823928846716,Loyal / High Value
1320-REHCS,0.47506556,Medium,Month-to-month,52,110.75,5759.0,2735.9025551378727,0.31964686358611627,Loyal / High Value
1035-IPQPU,0.4173833,Medium,Month-to-month,63,103.5,6520.5,2721.5478935837746,0.3180913690097535,Loyal / High Value
7752-XUSCI,0.42685357,Medium,Month-to-month,60,105.9,6354.0,2712.2275670170784,0.3169780007444059,Loyal / High Value
7142-HVGBG,0.61258554,High,Month-to-month,43,103.0,4429.0,2713.1413769721985,0.3166758215413984,Priority Retention
1751-NCDLI,0.59656423,Medium,Month-to-month,46,98.85,4547.099999999999,2712.6372252523897,0.316652032265835,Loyal / High Value
7207-RMRDB,0.3947156,Medium,Month-to-month,65,105.5,6857.5,2706.7622761428356,0.31640819846306606,Loyal / High Value
2452-KDRRH,0.39840168,Medium,Month-to-month,67,101.4,6793.8,2706.6613173365595,0.3163882414897693,Loyal / High Value
8938-UMKPI,0.5404229,Medium,Month-to-month,47,106.4,5000.8,2702.5469203948974,0.31559299624511733,Loyal / High Value
6651-AZVTJ,0.55241895,Medium,Month-to-month,49,99.8,4890.2,2701.439135694504,0.3154367098985805,Loyal / High Value
8818-DOPVL,0.56112903,Medium,Month-to-month,46,104.45,4804.7,2696.05666757226,0.3147865999790449,Loyal / High Value
2786-GCDPI,0.5130002,Medium,Month-to-month,50,104.95,5247.5,2691.968498378992,0.31441345822418193,Loyal / High Value
4553-DVPZG,0.4277839,Medium,Month-to-month,62,101.35,6283.7,2688.0657330214976,0.3141437776139409,Loyal / High Value
5647-FXOTP,0.4197691,Medium,Month-to-month,60,105.9,6354.0,2667.21291410923,0.311717138840172,Loyal / High Value
0434-CSFON,0.5626861,Medium,Month-to-month,47,100.5,4723.5,2657.8477258086205,0.3103044386953115,Loyal / High Value
6168-YBYNP,0.4040145,Medium,Month-to-month,59,111.35,6569.65,2654.2338467553254,0.31023049209876835,Loyal / High Value
6377-WHAOX,0.41653082,Medium,Month-to-month,60,106.15,6369.0,2652.8847782313824,0.3100447766853123,Loyal / High Value
9835-ZIITK,0.3577763,Medium,One year,66,110.85,7316.099999999999,2617.5272910028693,0.30602976091280126,Loyal / High Value
6212-ATMLK,0.54680073,Medium,Month-to-month,50,95.7,4785.0,2616.441505551338,0.3054859400527734,Loyal / High Value
5515-AKOAJ,0.48303744,Medium,Month-to-month,54,100.1,5405.4,2611.010588818788,0.30498985897760833,Loyal / High Value
8374-XGEJJ,0.6012214,High,Month-to-month,43,101.0,4343.0,2611.1044647097588,0.30474042370552107,Priority Retention
0100-DUVFC,0.35321847,Medium,One year,70,104.8,7336.0,2591.2106668949127,0.3029550543573349,Loyal / High Value
9851-QXEEQ,0.60311204,High,Month-to-month,41,104.7,4292.7,2588.9790624797342,0.30214278836401326,Priority Retention
2845-AFFTX,0.627773,High,Month-to-month,41,99.8,4091.7999999999997,2568.7215077519413,0.29971391780739287,Priority Retention
1444-VVSGW,0.31657806,Medium,One year,70,115.65,8095.5,2562.8576878756285,0.2997123523467183,Loyal / High Value
9600-NAXZN,0.5872599,Medium,Month-to-month,43,101.4,4360.2,2560.570566487312,0.2988477682601171,Loyal / High Value
5385-SUIRI,0.46998414,Medium,Month-to-month,52,104.2,5418.400000000001,2546.5620857000354,0.29746417664494496,Loyal / High Value
6710-HSJRD,0.36555573,Medium,Month-to-month,61,114.1,6960.099999999999,2544.3044603317976,0.29742967138773935,Loyal / High Value
0337-CNPZE,0.5844386,Medium,Month-to-month,41,106.3,4358.3,2547.1588462531568,0.297281906432811,Loyal / High Value
2080-CAZNM,0.59259516,Medium,Month-to-month,41,104.4,4280.400000000001,2536.544322896004,0.29601973156037403,Loyal / High Value
1587-FKLZB,0.38528618,Medium,Month-to-month,66,99.5,6567.0,2530.174358278513,0.29572990646729747,Loyal / High Value
5331-RGMTT,0.4727504,Medium,Month-to-month,54,99.05,5348.7,2528.600040605664,0.2953526272001101,Loyal / High Value
5364-XYIRR,0.52201355,Medium,Month-to-month,51,94.65,4827.150000000001,2519.8376839220527,0.2942169717361414,Loyal / High Value
1723-HKXJQ,0.5898709,Medium,Month-to-month,42,101.75,4273.5,2520.813418149948,0.29418180849953685,Loyal / High Value
3768-NLUBH,0.43763506,Medium,Month-to-month,57,100.6,5734.2,2509.486984705925,0.29318963867924486,Loyal / High Value
1866-RZZQS,0.621215,High,Month-to-month,41,98.4,4034.4,2506.229738903046,0.2924032840830262,Priority Retention
8111-SLLHI,0.6072505,High,Month-to-month,39,105.65,4120.35,2502.084645661712,0.29194818267568007,Priority Retention
6599-RCLCJ,0.4823363,Medium,Month-to-month,47,109.55,5148.849999999999,2483.477322782576,0.29004236216557644,Loyal / High Value
3685-YLCMQ,0.40621653,Medium,One year,58,104.65,6069.700000000001,2465.6124842315917,0.28811604621039744,Loyal / High Value
4989-LIXVT,0.3777426,Medium,Month-to-month,68,95.9,6521.200000000001,2463.3349682569506,0.2879118304098806,Loyal / High Value
8785-CJSHH,0.40983048,Medium,Month-to-month,60,99.8,5988.0,2454.064919114113,0.28675451355903153,Loyal / High Value
5980-NOPLP,0.5788472,Medium,Month-to-month,44,96.1,4228.4,2447.5976251363754,0.2856239798881912,Loyal / High Value
0979-PHULV,0.3520503,Medium,Month-to-month,69,99.45,6862.05,2415.7867913961413,0.28239500254046085,Loyal / High Value
6467-CHFZW,0.5164881,Medium,Month-to-month,47,99.35,4669.45,2411.7152430057527,0.28155538109421097,Loyal / High Value
4282-MSACW,0.30188835,Medium,One year,68,117.2,7969.6,2405.929367637634,0.2813500875281554,Loyal / High Value
2038-LLMLM,0.4824577,Medium,Month-to-month,48,103.85,4984.799999999999,2404.9551299571986,0.2808379741708362,Loyal / High Value
4840-ORQXB,0.40926698,Medium,Month-to-month,56,104.75,5866.0,2400.7600958943367,0.28050753430918207,Loyal / High Value
2027-WKXMW,0.3501643,Medium,Month-to-month,63,108.75,6851.25,2399.063120931387,0.2804388634892654,Loyal / High Value
2067-QYTCF,0.3365739,Medium,Month-to-month,64,111.15,7113.6,2394.2520864486696,0.2799048782294841,Loyal / High Value
3761-FLYZI,0.33814982,Medium,Month-to-month,65,108.8,7072.0,2391.3954973220825,0.27956656517079465,Loyal / High Value
3005-NFMTA,0.4364553,Medium,Month-to-month,55,98.8,5434.0,2371.698151230812,0.2770410717617991,Loyal / High Value
3791-LGQCY,0.4206251,Medium,Month-to-month,56,100.65,5636.400000000001,2370.8112606525424,0.2769719979544823,Loyal / High Value
4088-YLDSU,0.41344333,Medium,One year,55,104.15,5728.25,2368.306737601757,0.2766942520460305,Loyal / High Value
1891-FZYSA,0.381313,Medium,Month-to-month,69,89.95,6206.55,2366.6381762489677,0.2765694734528982,Loyal / High Value
8199-ZLLSA,0.2982355,Low,One year,67,118.35,7929.45,2364.843531619012,0.2765421868095472,Loyal / High Value
8384-FZBJK,0.41242036,Medium,Month-to-month,57,100.6,5734.2,2364.9008411228656,0.27629727802804577,Loyal / High Value
8016-NCFVO,0.3676237,Medium,Month-to-month,55,116.5,6407.5,2355.548773109913,0.2752997758578221,Loyal / High Value
4289-DTDKW,0.5821961,Medium,Month-to-month,40,101.3,4052.0,2359.0586638450623,0.2752383459367791,Loyal / High Value
9821-BESNZ,0.34085804,Medium,One year,66,104.25,6880.5,2345.2737596333027,0.27415435442132263,Loyal / High Value
0420-HLGXF,0.60386735,High,Month-to-month,39,99.75,3890.25,2349.1949661523104,0.27403439843568833,Priority Retention
8610-WFCJF,0.501047,Medium,Month-to-month,49,95.6,4684.4,2347.104637956619,0.2740159595450868,Loyal / High Value
5889-JTMUL,0.49289602,Medium,Month-to-month,50,95.05,4752.5,2342.488337010145,0.27349281365181816,Loyal / High Value
4128-ETESU,0.4995341,Medium,Month-to-month,47,99.7,4685.900000000001,2340.766840568185,0.2732763971636646,Loyal / High Value
9278-VZKCD,0.41083452,Medium,Month-to-month,52,109.1,5673.2,2330.746404850483,0.2722972988389259,Loyal / High Value
3545-CNWRG,0.48216832,Medium,Month-to-month,49,98.35,4819.15,2323.6414441049096,0.271307281478373,Loyal / High Value
0280-XJGEX,0.45578766,Medium,Month-to-month,49,103.7,5081.3,2315.9938301086427,0.2704689870270588,Loyal / High Value
3763-GCZHZ,0.3366172,Medium,One year,66,104.05,6867.3,2311.6513083189725,0.27022258356731976,Loyal / High Value
4220-TINQT,0.35551736,Medium,Month-to-month,61,106.35,6487.349999999999,2306.365529747307,0.26956135167674605,Loyal / High Value
6771-XWBDM,0.3863371,Medium,Month-to-month,57,104.5,5956.5,2301.2169448435307,0.26888993428076846,Loyal / High Value
5649-RXQTV,0.45388287,Medium,Month-to-month,51,99.0,5049.0,2291.654626071453,0.2676202208432526,Loyal / High Value
2632-UCGVD,0.34592614,Medium,Month-to-month,66,100.05,6603.3,2284.254052385688,0.2669906509087881,Loyal / High Value
3692-JHONH,0.41224307,Medium,One year,52,106.5,5538.0,2283.0021117925644,0.2666977614063744,Loyal / High Value
