customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Target,Tenure_Group,Service_Count,Estimated_Billed_Value,Charge_per_Tenure_Month,Streaming_Adoption,Churn_Probability,Risk_Band,Expected_Revenue_at_Risk,Normalized_Value,Retention_Priority_Score,High_Value,High_Risk,Retention_Segment
5655-JSMZM,Male,1,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.2,4718.25,Yes,1,49-72,3,4713.8,96.29081632653062,1,0.5761162938277615,Medium,75.85549578666688,0.550332895723931,0.31705574825597105,True,True,Priority Retention
6377-WHAOX,Female,0,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.15,6411.25,No,0,49-72,5,6369.0,106.85416666666669,1,0.4247086598826172,Medium,73.31893063485623,0.7443501500375093,0.3161319547058556,True,True,Priority Retention
7752-XUSCI,Female,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9,6396.45,Yes,1,49-72,5,6354.0,106.6075,1,0.42516816611782976,Medium,74.02197291254997,0.7425918979744935,0.31572643543577394,True,True,Priority Retention
8374-XGEJJ,Male,1,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.0,4388.4,Yes,1,25-48,4,4343.0,102.05581395348835,1,0.6202249149264387,High,81.17853713035583,0.5068689047261815,0.3143727233126531,True,True,Priority Retention
1751-NCDLI,Male,1,Yes,No,46,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.85,4564.9,No,0,25-48,4,4547.099999999999,99.23695652173912,1,0.5886588207650576,Medium,77.79355955421924,0.5307928544636158,0.3124558957790709,True,True,Priority Retention
2845-AFFTX,Male,1,Yes,No,41,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,4259.3,Yes,1,25-48,4,4091.7999999999997,103.88536585365854,1,0.6542558074451043,High,82.20460673570632,0.47742404351087764,0.31235745308091584,True,True,Priority Retention
5502-RLUYV,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.95,7446.9,Yes,1,49-72,5,7172.55,107.92608695652171,1,0.3711751956930096,Medium,67.77919293344021,0.8385397130532632,0.31124514208890514,True,True,Priority Retention
5385-SUIRI,Male,1,Yes,No,52,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.2,5568.35,Yes,1,49-72,5,5418.400000000001,107.08365384615384,1,0.49118638330106706,Medium,76.47192771434784,0.632923855963991,0.31088357971591823,True,True,Priority Retention
1035-IPQPU,Female,1,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.5,6479.4,No,0,49-72,5,6520.5,102.84761904761903,1,0.4057227574451372,Medium,69.92564177513123,0.7621084958739685,0.30920476041835243,True,True,Priority Retention
7480-QNVZJ,Male,1,No,No,50,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.7,4816.7,Yes,1,49-72,3,4785.0,96.334,1,0.5527358464527229,Medium,74.64741189479828,0.5586787321830456,0.3088017619283298,True,True,Priority Retention
1264-BYWMS,Male,0,No,No,55,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.8,5283.95,Yes,1,49-72,3,5324.0,96.07181818181816,1,0.49602377066671177,Medium,71.44083824157714,0.6218585896474118,0.3084566424583926,True,True,Priority Retention
1320-REHCS,Male,1,No,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.75,5832.0,No,0,49-72,6,5759.0,112.15384615384616,1,0.4579205416481411,Medium,79.99173387885094,0.6728478994748687,0.3081108745743459,True,True,Priority Retention
7233-DRTRF,Male,0,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.4,6444.05,No,0,49-72,5,6451.200000000001,102.28650793650796,1,0.40628947311324903,Medium,71.57518920898438,0.7539853713428357,0.30633631925797816,True,True,Priority Retention
0337-CNPZE,Female,0,No,No,41,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.3,4443.45,Yes,1,25-48,5,4358.3,108.37682926829268,1,0.6016605748420046,High,83.55054056048392,0.5086623218304576,0.30604206495298186,True,True,Priority Retention
9851-QXEEQ,Male,0,No,No,41,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.7,4346.4,Yes,1,25-48,5,4292.7,106.00975609756097,1,0.6089584086240548,High,83.02211195826531,0.5009728994748687,0.3050716596279946,True,True,Priority Retention
1866-RZZQS,Male,1,No,No,41,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.4,4187.75,Yes,1,25-48,4,4034.4,102.14024390243902,1,0.6478048533594756,High,80.81593465805054,0.4706957989497374,0.30491902301555585,True,True,Priority Retention
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,0,25-48,4,4723.5,100.15106382978723,1,0.5528631532046285,Medium,76.3563015460968,0.5514698987246811,0.30488738710636437,True,True,Priority Retention
2080-CAZNM,Female,1,No,No,41,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,4133.95,No,0,25-48,5,4280.400000000001,100.8280487804878,1,0.6099555877411424,High,83.12394347190858,0.4995311327831958,0.30469180569177284,True,True,Priority Retention
3838-OZURD,Male,0,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),105.0,7133.25,Yes,1,49-72,5,6930.0,108.07954545454544,1,0.37596274787951145,Medium,70.5610254406929,0.8101087771942985,0.30457072195527934,True,True,Priority Retention
8111-SLLHI,Male,1,Yes,No,39,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.65,4284.8,Yes,1,25-48,5,4120.35,109.86666666666667,1,0.633461395998389,High,85.25305559039117,0.4807705832708177,0.3045496048336919,True,True,Priority Retention
2675-DHUTR,Male,1,Yes,No,58,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.9,5780.7,No,0,49-72,4,5736.200000000001,99.66724137931034,1,0.4526335781260723,Medium,71.04094138145447,0.6701753563390848,0.30334386951167547,True,True,Priority Retention
9600-NAXZN,Male,0,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.4,4528.0,Yes,1,25-48,4,4360.2,105.30232558139537,1,0.5927426991699395,Medium,79.55450134277345,0.5088850337584395,0.3016378884771632,True,True,Priority Retention
0420-HLGXF,Female,1,No,No,39,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.75,4036.0,No,0,25-48,4,3890.25,103.48717948717947,1,0.647581801774664,High,81.3282725661993,0.45379899662415596,0.29387197187740555,True,True,Priority Retention
1723-HKXJQ,Male,0,No,No,42,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.75,4273.45,Yes,1,25-48,4,4273.5,101.74880952380953,1,0.5885291460662281,Medium,80.07636459171772,0.49872233683420847,0.29351263102119046,True,True,Priority Retention
6212-ATMLK,Female,0,No,No,50,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.7,4729.75,No,0,49-72,3,4785.0,94.595,1,0.5228813395707125,Medium,72.4426553428173,0.5586787321830456,0.29212268387353824,True,True,Priority Retention
3571-RFHAR,Male,0,No,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,109.15,6941.2,Yes,1,49-72,6,7094.75,106.78769230769232,1,0.34838892514860104,Medium,74.3690134048462,0.8294202456864215,0.288960827891181,True,True,Priority Retention
5515-AKOAJ,Female,0,No,No,54,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,100.1,5440.9,Yes,1,49-72,4,5405.4,100.7574074074074,1,0.4552824327568284,Medium,73.71819320321083,0.6314000375093772,0.287465345120022,True,True,Priority Retention
5364-XYIRR,Male,0,Yes,No,51,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.65,4812.75,Yes,1,49-72,3,4827.150000000001,94.36764705882354,1,0.5094110871653685,Medium,71.56983513236047,0.56361942048012,0.2871139817342929,True,True,Priority Retention
4128-ETESU,Female,1,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,99.7,4747.2,No,0,25-48,4,4685.900000000001,101.00425531914894,1,0.5219352191008232,Medium,74.80494467616082,0.5470625468867216,0.2855312102711754,True,True,Priority Retention
2038-LLMLM,Female,0,No,No,48,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,103.85,4946.05,No,0,25-48,5,4984.799999999999,103.04270833333334,1,0.4897737078320123,Medium,77.09015495479106,0.5820986496624154,0.28509661396916874,True,True,Priority Retention
2452-KDRRH,Male,1,No,No,67,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),101.4,6841.05,No,0,49-72,4,6793.8,102.10522388059702,1,0.3586161047609548,Medium,67.92874846458436,0.7941438484621155,0.2847927735553578,True,True,Priority Retention
7207-RMRDB,Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,6985.65,Yes,1,49-72,5,6857.5,107.47153846153846,1,0.3551011401394768,Medium,67.66478636860847,0.8016105588897223,0.2846528234095836,True,True,Priority Retention
3768-NLUBH,Male,1,Yes,No,57,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,100.6,5746.15,Yes,1,49-72,4,5734.2,100.80964912280702,1,0.42064604695498603,Medium,68.6801155090332,0.6699409227306826,0.2818080008400374,True,True,Priority Retention
6651-AZVTJ,Male,0,Yes,Yes,49,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,4872.45,Yes,1,49-72,4,4890.2,99.4377551020408,1,0.49196990201178437,Medium,72.61101579666138,0.5710099399849962,0.28091970422217344,True,True,Priority Retention
6029-WTIPC,Male,1,No,No,37,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.1,3744.05,Yes,1,25-48,4,3740.7,101.19054054054054,1,0.6436562965588364,High,82.21811723113059,0.4362692235558889,0.2808074327365825,True,True,Priority Retention
2439-LYPMQ,Male,1,Yes,No,38,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.6,4009.2,No,0,25-48,5,3898.7999999999997,105.50526315789472,1,0.6158825592705169,High,82.22878367900847,0.4548012003000749,0.28010412720011313,True,True,Priority Retention
4840-ORQXB,Female,1,No,No,56,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,104.75,5841.35,No,0,49-72,5,5866.0,104.30982142857144,1,0.4077216846173938,Medium,69.50795090198517,0.6853900975243811,0.27944840518272046,True,True,Priority Retention
4289-DTDKW,Male,0,Yes,No,40,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.3,4113.1,Yes,1,25-48,4,4052.0,102.8275,1,0.5883385751284386,Medium,79.47604522705078,0.47275881470367587,0.2781422474221702,True,True,Priority Retention
3005-NFMTA,Male,1,No,No,55,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.8,5617.75,Yes,1,49-72,4,5434.0,102.14090909090908,1,0.43618859585934466,Medium,70.25416955947875,0.6347524381095273,0.2768717746972903,True,True,Priority Retention
9801-GDWGV,Female,0,No,No,39,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.45,3994.45,Yes,1,25-48,5,4034.55,102.42179487179487,1,0.5875394332593318,Medium,80.69054074883461,0.47071338147036756,0.2765626733766834,True,True,Priority Retention
6599-RCLCJ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,109.55,5124.55,Yes,1,25-48,6,5148.849999999999,109.03297872340426,1,0.45767296410262326,Medium,79.77207886278629,0.6013280663915977,0.27521159854354155,True,True,Priority Retention
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,25-48,4,4669.45,101.04574468085106,1,0.5039994498669401,Medium,73.34367061853409,0.5451343304576143,0.2747474026542203,True,True,Priority Retention
3791-LGQCY,Female,1,Yes,No,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.65,5688.05,Yes,1,49-72,4,5636.400000000001,101.57232142857144,1,0.41701201171084695,Medium,69.30829228162766,0.6584771192798199,0.274592868176441,True,True,Priority Retention
6710-HSJRD,Male,0,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,114.1,7132.15,No,0,49-72,6,6960.099999999999,116.92049180327868,1,0.3350255288507647,Medium,74.98658559322357,0.81363700300075,0.2725891672228775,True,True,Priority Retention
6168-YBYNP,Male,0,No,No,59,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.35,6519.75,No,0,49-72,6,6569.65,110.5042372881356,1,0.35381576665422976,Medium,71.6624626070261,0.76786970180045,0.271684407233081,True,True,Priority Retention
2568-OIADY,Female,0,Yes,No,37,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.5,3762.0,Yes,1,25-48,4,3681.5,101.67567567567568,1,0.6273231535533541,High,79.3446150124073,0.42932998874718675,0.2693286424559112,True,True,Priority Retention
5980-NOPLP,Female,0,Yes,No,44,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.1,4364.1,Yes,1,25-48,3,4228.4,99.18409090909093,1,0.5453042089325075,Medium,74.30355533957481,0.49343585896474107,0.2690726507317005,True,True,Priority Retention
4553-DVPZG,Female,0,Yes,No,62,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.35,6164.7,No,0,49-72,4,6283.7,99.43064516129031,1,0.36610134744336964,Medium,67.7445197224617,0.7343515566391596,0.2688470943827323,True,True,Priority Retention
1666-JXLKU,Female,0,No,No,37,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.05,3810.55,No,0,25-48,4,3701.85,102.98783783783784,1,0.6217832531663674,High,79.78320333659649,0.4317153507126781,0.2684333752079882,True,True,Priority Retention
9278-VZKCD,Female,1,Yes,No,52,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,109.1,5647.95,No,0,49-72,6,5673.2,108.61442307692307,1,0.4042296101141688,Medium,75.29002860188484,0.6627906976744186,0.26791962530822816,True,True,Priority Retention
5889-JTMUL,Female,1,Yes,No,50,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,95.05,4888.7,Yes,1,49-72,4,4752.5,97.774,1,0.47715520305083353,Medium,70.24420696794986,0.5548691860465116,0.26475871913467397,True,True,Priority Retention
6394-MFYNG,Female,0,No,No,48,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),107.4,5121.3,Yes,1,25-48,5,5155.200000000001,106.69375,1,0.4377919167106197,Medium,74.66247911453247,0.6020723930982745,0.2635824269730433,True,True,Priority Retention
4989-LIXVT,Male,1,No,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,95.9,6503.2,No,0,49-72,4,6521.200000000001,95.63529411764704,1,0.3437809071781612,Medium,60.63281606435776,0.7621905476369092,0.2620265579092361,True,True,Priority Retention
5331-RGMTT,Male,1,Yes,No,54,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.05,5295.7,No,0,49-72,4,5348.7,98.06851851851852,1,0.4192255802411947,Medium,70.06016749441623,0.6247538447111777,0.26191279305696075,True,True,Priority Retention
4220-TINQT,Female,0,Yes,No,61,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,6751.35,No,0,49-72,5,6487.349999999999,110.67786885245904,1,0.34394360168976934,Medium,70.89993238449097,0.7582227588147036,0.26078586654988245,True,True,Priority Retention
3005-TYFRD,Female,0,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),103.65,5676.65,No,0,49-72,5,5700.75,103.21181818181816,1,0.3876222435667228,Medium,69.67239574491978,0.6660200206301574,0.25816417465701663,True,True,Priority Retention
3951-NJCVI,Female,1,Yes,No,42,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.05,3944.5,No,0,25-48,3,3992.1,93.91666666666669,1,0.5542875629284222,Medium,72.70210475623607,0.46573752813203295,0.258152519432612,True,True,Priority Retention
6771-XWBDM,Female,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.5,5921.35,Yes,1,49-72,5,5956.5,103.88333333333334,1,0.36922179536231325,Medium,68.19397705793381,0.6959982183045761,0.25697771173138684,True,True,Priority Retention
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,49-72,5,5081.3,102.78163265306122,1,0.4327698305797846,Medium,73.76501336097718,0.5934100712678169,0.25680997600691097,True,True,Priority Retention
3761-FLYZI,Female,1,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),108.8,7082.45,No,0,49-72,5,7072.0,108.96076923076924,1,0.3098698403851122,Medium,64.59179000854492,0.8267535633908476,0.2561859947257447,True,False,Loyal / High Value
